                    CRIM    ZN INDUS CHAS NOX    RM   AGE    DIS RAD TAX PTRATIO  B  LSTAT MEDV  
47__Peabody      0.18836   0.0  6.91 0 0.4480 5.786  33.3  5.1004  3 233 17.9 396.90 14.15 20.0
48__Peabody      0.22927   0.0  6.91 0 0.4480 6.030  85.5  5.6894  3 233 17.9 392.74 18.80 16.6
49__Peabody      0.25387   0.0  6.91 0 0.4480 5.399  95.3  5.8700  3 233 17.9 396.90 30.81 14.4
50__Peabody      0.21977   0.0  6.91 0 0.4480 5.602  62.0  6.0877  3 233 17.9 396.90 16.20 19.4
51__Danvers      0.08873  21.0  5.64 0 0.4390 5.963  45.7  6.8147  4 243 16.8 395.56 13.45 19.7
52__Danvers      0.04337  21.0  5.64 0 0.4390 6.115  63.0  6.8147  4 243 16.8 393.97  9.43 20.5
53__Danvers      0.05360  21.0  5.64 0 0.4390 6.511  21.1  6.8147  4 243 16.8 396.90  5.28 25.0
54__Danvers      0.04981  21.0  5.64 0 0.4390 5.998  21.4  6.8147  4 243 16.8 396.90  8.43 23.4
55__Middleton    0.01360  75.0  4.00 0 0.4100 5.888  47.6  7.3197  3 469 21.1 396.90 14.80 18.9
56__Topsfield    0.01311  90.0  1.22 0 0.4030 7.249  21.9  8.6966  5 226 17.9 395.93  4.81 35.4
57__Hamilton     0.02055  85.0  0.74 0 0.4100 6.383  35.7  9.1876  2 313 17.3 396.90  5.77 24.7
58__Wenham       0.01432 100.0  1.32 0 0.4110 6.816  40.5  8.3248  5 256 15.1 392.90  3.95 31.6
59__Beverly      0.15445  25.0  5.13 0 0.4530 6.145  29.2  7.8148  8 284 19.7 390.68  6.86 23.3
60__Beverly      0.10328  25.0  5.13 0 0.4530 5.927  47.2  6.9320  8 284 19.7 396.90  9.22 19.6
61__Beverly      0.14932  25.0  5.13 0 0.4530 5.741  66.2  7.2254  8 284 19.7 395.11 13.15 18.7
62__Beverly      0.17171  25.0  5.13 0 0.4530 5.966  93.4  6.8185  8 284 19.7 378.08 14.44 16.0
63__Beverly      0.11027  25.0  5.13 0 0.4530 6.456  67.8  7.2255  8 284 19.7 396.90  6.73 22.2
64__Beverly      0.12650  25.0  5.13 0 0.4530 6.762  43.4  7.9809  8 284 19.7 395.58  9.50 25.0
65__Manchester   0.01951  17.5  1.38 0 0.4161 7.104  59.5  9.2229  3 216 18.6 393.24  8.05 33.0
66__North_Readin 0.03584  80.0  3.37 0 0.3980 6.290  17.8  6.6115  4 337 16.1 396.90  4.67 23.5
67__North_Readin 0.04379  80.0  3.37 0 0.3980 5.787  31.1  6.6115  4 337 16.1 396.90 10.24 19.4
68__Wilmington   0.05789  12.5  6.07 0 0.4090 5.878  21.4  6.4980  4 345 18.9 396.21  8.10 22.0
69__Wilmington   0.13554  12.5  6.07 0 0.4090 5.594  36.8  6.4980  4 345 18.9 396.90 13.09 17.4
70__Wilmington   0.12816  12.5  6.07 0 0.4090 5.885  33.0  6.4980  4 345 18.9 396.90  8.79 20.9
71__Burlington   0.08826   0.0 10.81 0 0.4130 6.417   6.6  5.2873  4 305 19.2 383.73  6.72 24.2
72__Burlington   0.15876   0.0 10.81 0 0.4130 5.961  17.5  5.2873  4 305 19.2 376.94  9.88 21.7
73__Burlington   0.09164   0.0 10.81 0 0.4130 6.065   7.8  5.2873  4 305 19.2 390.91  5.52 22.8
74__Burlington   0.19539   0.0 10.81 0 0.4130 6.245   6.2  5.2873  4 305 19.2 377.17  7.54 23.4
75__Woburn       0.07896   0.0 12.83 0 0.4370 6.273   6.0  4.2515  5 398 18.7 394.92  6.78 24.1
76__Woburn       0.09512   0.0 12.83 0 0.4370 6.286  45.0  4.5026  5 398 18.7 383.23  8.94 21.4
77__Woburn       0.10153   0.0 12.83 0 0.4370 6.279  74.5  4.0522  5 398 18.7 373.66 11.97 20.0
78__Woburn       0.08707   0.0 12.83 0 0.4370 6.140  45.8  4.0905  5 398 18.7 386.96 10.27 20.8
79__Woburn       0.05646   0.0 12.83 0 0.4370 6.232  53.7  5.0141  5 398 18.7 386.40 12.34 21.2
80__Woburn       0.08387   0.0 12.83 0 0.4370 5.874  36.6  4.5026  5 398 18.7 396.06  9.10 20.3
81__Reading      0.04113  25.0  4.86 0 0.4260 6.727  33.5  5.4007  4 281 19.0 396.90  5.29 28.0
82__Reading      0.04462  25.0  4.86 0 0.4260 6.619  70.4  5.4007  4 281 19.0 395.63  7.22 23.9
83__Reading      0.03659  25.0  4.86 0 0.4260 6.302  32.2  5.4007  4 281 19.0 396.90  6.72 24.8
84__Reading      0.03551  25.0  4.86 0 0.4260 6.167  46.7  5.4007  4 281 19.0 390.64  7.51 22.9
85__Wakefield    0.05059   0.0  4.49 0 0.4490 6.389  48.0  4.7794  3 247 18.5 396.90  9.62 23.9
86__Wakefield    0.05735   0.0  4.49 0 0.4490 6.630  56.1  4.4377  3 247 18.5 392.30  6.53 26.6
87__Wakefield    0.05188   0.0  4.49 0 0.4490 6.015  45.1  4.4272  3 247 18.5 395.99 12.86 22.5
88__Wakefield    0.07151   0.0  4.49 0 0.4490 6.121  56.8  3.7476  3 247 18.5 395.15  8.44 22.2
89__Melrose      0.05660   0.0  3.41 0 0.4890 7.007  86.3  3.4217  2 270 17.8 396.90  5.50 23.6
90__Melrose      0.05302   0.0  3.41 0 0.4890 7.079  63.1  3.4145  2 270 17.8 396.06  5.70 28.7
91__Melrose      0.04684   0.0  3.41 0 0.4890 6.417  66.1  3.0923  2 270 17.8 392.18  8.81 22.6
92__Melrose      0.03932   0.0  3.41 0 0.4890 6.405  73.9  3.0921  2 270 17.8 393.55  8.20 22.0
93__Stoneham     0.04203  28.0 15.04 0 0.4640 6.442  53.6  3.6659  4 270 18.2 395.01  8.16 22.9
94__Stoneham     0.02875  28.0 15.04 0 0.4640 6.211  28.9  3.6659  4 270 18.2 396.33  6.21 25.0
95__Stoneham     0.04294  28.0 15.04 0 0.4640 6.249  77.3  3.6150  4 270 18.2 396.90 10.59 20.6
96__Winchester   0.12204   0.0  2.89 0 0.4450 6.625  57.8  3.4952  2 276 18.0 357.98  6.65 28.4
97__Winchester   0.11504   0.0  2.89 0 0.4450 6.163  69.6  3.4952  2 276 18.0 391.83 11.34 21.4
98__Winchester   0.12083   0.0  2.89 0 0.4450 8.069  76.0  3.4952  2 276 18.0 396.90  4.21 38.7
99__Winchester   0.08187   0.0  2.89 0 0.4450 7.820  36.9  3.4952  2 276 18.0 393.53  3.57 43.8
100__Winchester  0.06860   0.0  2.89 0 0.4450 7.416  62.5  3.4952  2 276 18.0 396.90  6.19 33.2
101__Medford     0.14866   0.0  8.56 0 0.5200 6.727  79.9  2.7778  5 384 20.9 394.76  9.42 27.5
102__Medford     0.11432   0.0  8.56 0 0.5200 6.781  71.3  2.8561  5 384 20.9 395.58  7.67 26.5
103__Medford     0.22876   0.0  8.56 0 0.5200 6.405  85.4  2.7147  5 384 20.9  70.80 10.63 18.6
104__Medford     0.21161   0.0  8.56 0 0.5200 6.137  87.4  2.7147  5 384 20.9 394.47 13.44 19.3
105__Medford     0.13960   0.0  8.56 0 0.5200 6.167  90.0  2.4210  5 384 20.9 392.69 12.33 20.1
106__Medford     0.13262   0.0  8.56 0 0.5200 5.851  96.7  2.1069  5 384 20.9 394.05 16.47 19.5
107__Medford     0.17120   0.0  8.56 0 0.5200 5.836  91.9  2.2110  5 384 20.9 395.67 18.66 19.5
108__Medford     0.13117   0.0  8.56 0 0.5200 6.127  85.2  2.1224  5 384 20.9 387.69 14.09 20.4
109__Medford     0.12802   0.0  8.56 0 0.5200 6.474  97.1  2.4329  5 384 20.9 395.24 12.27 19.8
110__Medford     0.26363   0.0  8.56 0 0.5200 6.229  91.2  2.5451  5 384 20.9 391.23 15.55 19.4
111__Medford     0.10793   0.0  8.56 0 0.5200 6.195  54.4  2.7778  5 384 20.9 393.49 13.00 21.7
112__Malden      0.10084   0.0 10.01 0 0.5470 6.715  81.6  2.6775  6 432 17.8 395.59 10.16 22.8
113__Malden      0.12329   0.0 10.01 0 0.5470 5.913  92.9  2.3534  6 432 17.8 394.95 16.21 18.8
114__Malden      0.22212   0.0 10.01 0 0.5470 6.092  95.4  2.5480  6 432 17.8 396.90 17.09 18.7
115__Malden      0.14231   0.0 10.01 0 0.5470 6.254  84.2  2.2565  6 432 17.8 388.74 10.45 18.5
116__Malden      0.17134   0.0 10.01 0 0.5470 5.928  88.2  2.4631  6 432 17.8 344.91 15.76 18.3
117__Malden      0.13158   0.0 10.01 0 0.5470 6.176  72.5  2.7301  6 432 17.8 393.30 12.04 21.2
118__Malden      0.15098   0.0 10.01 0 0.5470 6.021  82.6  2.7474  6 432 17.8 394.51 10.30 19.2
119__Malden      0.13058   0.0 10.01 0 0.5470 5.872  73.1  2.4775  6 432 17.8 338.63 15.37 20.4
120__Malden      0.14476   0.0 10.01 0 0.5470 5.731  65.2  2.7592  6 432 17.8 391.50 13.61 19.3
121__Evertt      0.06899   0.0 25.65 0 0.5810 5.870  69.7  2.2577  2 188 19.1 389.15 14.37 22.0
122__Evertt      0.07165   0.0 25.65 0 0.5810 6.004  84.1  2.1974  2 188 19.1 377.67 14.27 20.3
123__Evertt      0.09299   0.0 25.65 0 0.5810 5.961  92.9  2.0869  2 188 19.1 378.09 17.93 20.5
124__Evertt      0.15038   0.0 25.65 0 0.5810 5.856  97.0  1.9444  2 188 19.1 370.31 25.41 17.3
125__Evertt      0.09849   0.0 25.65 0 0.5810 5.879  95.8  2.0063  2 188 19.1 379.38 17.58 18.8
126__Evertt      0.16902   0.0 25.65 0 0.5810 5.986  88.4  1.9929  2 188 19.1 385.02 14.81 21.4
127__Evertt      0.38735   0.0 25.65 0 0.5810 5.613  95.6  1.7572  2 188 19.1 359.29 27.26 15.7
128__Somerville  0.25915   0.0 21.89 0 0.6240 5.693  96.0  1.7883  4 437 21.2 392.11 17.19 16.2
129__Somerville  0.32543   0.0 21.89 0 0.6240 6.431  98.8  1.8125  4 437 21.2 396.90 15.39 18.0
130__Somerville  0.88125   0.0 21.89 0 0.6240 5.637  94.7  1.9799  4 437 21.2 396.90 18.34 14.3
131__Somerville  0.34006   0.0 21.89 0 0.6240 6.458  98.9  2.1185  4 437 21.2 395.04 12.60 19.2
132__Somerville  1.19294   0.0 21.89 0 0.6240 6.326  97.7  2.2710  4 437 21.2 396.90 12.26 19.6
133__Somerville  0.59005   0.0 21.89 0 0.6240 6.372  97.9  2.3274  4 437 21.2 385.76 11.12 23.0
134__Somerville  0.32982   0.0 21.89 0 0.6240 5.822  95.4  2.4699  4 437 21.2 388.69 15.03 18.4
135__Somerville  0.97617   0.0 21.89 0 0.6240 5.757  98.4  2.3460  4 437 21.2 262.76 17.31 15.6
136__Somerville  0.55778   0.0 21.89 0 0.6240 6.335  98.2  2.1107  4 437 21.2 394.67 16.96 18.1
137__Somerville  0.32264   0.0 21.89 0 0.6240 5.942  93.5  1.9669  4 437 21.2 378.25 16.90 17.4
138__Somerville  0.35233   0.0 21.89 0 0.6240 6.454  98.4  1.8498  4 437 21.2 394.08 14.59 17.1
139__Somerville  0.24980   0.0 21.89 0 0.6240 5.857  98.2  1.6686  4 437 21.2 392.04 21.32 13.3
140__Somerville  0.54452   0.0 21.89 0 0.6240 6.151  97.9  1.6687  4 437 21.2 396.90 18.46 17.8
141__Somerville  0.29090   0.0 21.89 0 0.6240 6.174  93.6  1.6119  4 437 21.2 388.08 24.16 14.0
142__Somerville  1.62864   0.0 21.89 0 0.6240 5.019 100.0  1.4394  4 437 21.2 396.90 34.41 14.4
143__Cambridge   3.32105   0.0 19.58 1 0.8710 5.403 100.0  1.3216  5 403 14.7 396.90 26.82 13.4
144__Cambridge   4.09740   0.0 19.58 0 0.8710 5.468 100.0  1.4118  5 403 14.7 396.90 26.42 15.6
145__Cambridge   2.77974   0.0 19.58 0 0.8710 4.903  97.8  1.3459  5 403 14.7 396.90 29.29 11.8
146__Cambridge   2.37934   0.0 19.58 0 0.8710 6.130 100.0  1.4191  5 403 14.7 172.91 27.80 13.8
147__Cambridge   2.15505   0.0 19.58 0 0.8710 5.628 100.0  1.5166  5 403 14.7 169.27 16.65 15.6
148__Cambridge   2.36862   0.0 19.58 0 0.8710 4.926  95.7  1.4608  5 403 14.7 391.71 29.53 14.6
149__Cambridge   2.33099   0.0 19.58 0 0.8710 5.186  93.8  1.5296  5 403 14.7 356.99 28.32 17.8
150__Cambridge   2.73397   0.0 19.58 0 0.8710 5.597  94.9  1.5257  5 403 14.7 351.85 21.45 15.4
151__Cambridge   1.65660   0.0 19.58 0 0.8710 6.122  97.3  1.6180  5 403 14.7 372.80 14.10 21.5
152__Cambridge   1.49632   0.0 19.58 0 0.8710 5.404 100.0  1.5916  5 403 14.7 341.60 13.28 19.6
153__Cambridge   1.12658   0.0 19.58 1 0.8710 5.012  88.0  1.6102  5 403 14.7 343.28 12.12 15.3
154__Cambridge   2.14918   0.0 19.58 0 0.8710 5.709  98.5  1.6232  5 403 14.7 261.95 15.79 19.4
155__Cambridge   1.41385   0.0 19.58 1 0.8710 6.129  96.0  1.7494  5 403 14.7 321.02 15.12 17.0
156__Cambridge   3.53501   0.0 19.58 1 0.8710 6.152  82.6  1.7455  5 403 14.7  88.01 15.02 15.6
157__Cambridge   2.44668   0.0 19.58 0 0.8710 5.272  94.0  1.7364  5 403 14.7  88.63 16.14 13.1
158__Cambridge   1.22358   0.0 19.58 0 0.6050 6.943  97.4  1.8773  5 403 14.7 363.43  4.59 41.3
159__Cambridge   1.34284   0.0 19.58 0 0.6050 6.066 100.0  1.7573  5 403 14.7 353.89  6.43 24.3
160__Cambridge   1.42502   0.0 19.58 0 0.8710 6.510 100.0  1.7659  5 403 14.7 364.31  7.39 23.3
161__Cambridge   1.27346   0.0 19.58 1 0.6050 6.250  92.6  1.7984  5 403 14.7 338.92  5.50 27.0
162__Cambridge   1.46336   0.0 19.58 0 0.6050 7.489  90.8  1.9709  5 403 14.7 374.43  1.73 50.0
163__Cambridge   1.83377   0.0 19.58 1 0.6050 7.802  98.2  2.0407  5 403 14.7 389.61  1.92 50.0
164__Cambridge   1.51902   0.0 19.58 1 0.6050 8.375  93.9  2.1620  5 403 14.7 388.45  3.32 50.0
165__Cambridge   2.24236   0.0 19.58 0 0.6050 5.854  91.8  2.4220  5 403 14.7 395.11 11.64 22.7
166__Cambridge   2.92400   0.0 19.58 0 0.6050 6.101  93.0  2.2834  5 403 14.7 240.16  9.81 25.0
167__Cambridge   2.01019   0.0 19.58 0 0.6050 7.929  96.2  2.0459  5 403 14.7 369.30  3.70 50.0
168__Cambridge   1.80028   0.0 19.58 0 0.6050 5.877  79.2  2.4259  5 403 14.7 227.61 12.14 23.8
169__Cambridge   2.30040   0.0 19.58 0 0.6050 6.319  96.1  2.1000  5 403 14.7 297.09 11.10 23.8
170__Cambridge   2.44953   0.0 19.58 0 0.6050 6.402  95.2  2.2625  5 403 14.7 330.04 11.32 22.3
171__Cambridge   1.20742   0.0 19.58 0 0.6050 5.875  94.6  2.4259  5 403 14.7 292.29 14.43 17.4
172__Cambridge   2.31390   0.0 19.58 0 0.6050 5.880  97.3  2.3887  5 403 14.7 348.13 12.03 19.1
173__Arlington   0.13914   0.0  4.05 0 0.5100 5.572  88.5  2.5961  5 296 16.6 396.90 14.69 23.1
174__Arlington   0.09178   0.0  4.05 0 0.5100 6.416  84.1  2.6463  5 296 16.6 395.50  9.04 23.6
175__Arlington   0.08447   0.0  4.05 0 0.5100 5.859  68.7  2.7019  5 296 16.6 393.23  9.64 22.6
176__Arlington   0.06664   0.0  4.05 0 0.5100 6.546  33.1  3.1323  5 296 16.6 390.96  5.33 29.4
177__Arlington   0.07022   0.0  4.05 0 0.5100 6.020  47.2  3.5549  5 296 16.6 393.23 10.11 23.2
178__Arlington   0.05425   0.0  4.05 0 0.5100 6.315  73.4  3.3175  5 296 16.6 395.60  6.29 24.6
179__Arlington   0.06642   0.0  4.05 0 0.5100 6.860  74.4  2.9153  5 296 16.6 391.27  6.92 29.9
180__Belmont     0.05780   0.0  2.46 0 0.4880 6.980  58.4  2.8290  3 193 17.8 396.90  5.04 37.2
181__Belmont     0.06588   0.0  2.46 0 0.4880 7.765  83.3  2.7410  3 193 17.8 395.56  7.56 39.8
182__Belmont     0.06888   0.0  2.46 0 0.4880 6.144  62.2  2.5979  3 193 17.8 396.90  9.45 36.2
183__Belmont     0.09103   0.0  2.46 0 0.4880 7.155  92.2  2.7006  3 193 17.8 394.12  4.82 37.9
184__Belmont     0.10008   0.0  2.46 0 0.4880 6.563  95.6  2.8470  3 193 17.8 396.90  5.68 32.5
185__Belmont     0.08308   0.0  2.46 0 0.4880 5.604  89.8  2.9879  3 193 17.8 391.00 13.98 26.4
186__Belmont     0.06047   0.0  2.46 0 0.4880 6.153  68.8  3.2797  3 193 17.8 387.11 13.15 29.6
187__Belmont     0.05602   0.0  2.46 0 0.4880 7.831  53.6  3.1992  3 193 17.8 392.63  4.45 50.0
188__Lexington   0.07875  45.0  3.44 0 0.4370 6.782  41.1  3.7886  5 398 15.2 393.87  6.68 32.0
189__Lexington   0.12579  45.0  3.44 0 0.4370 6.556  29.1  4.5667  5 398 15.2 382.84  4.56 29.8
190__Lexington   0.08370  45.0  3.44 0 0.4370 7.185  38.9  4.5667  5 398 15.2 396.90  5.39 34.9
191__Lexington   0.09068  45.0  3.44 0 0.4370 6.951  21.5  6.4798  5 398 15.2 377.68  5.10 37.0
192__Lexington   0.06911  45.0  3.44 0 0.4370 6.739  30.8  6.4798  5 398 15.2 389.71  4.69 30.5
193__Lexington   0.08664  45.0  3.44 0 0.4370 7.178  26.3  6.4798  5 398 15.2 390.49  2.87 36.4
194__Bedford     0.02187  60.0  2.93 0 0.4010 6.800   9.9  6.2196  1 265 15.6 393.37  5.03 31.1
195__Bedford     0.01439  60.0  2.93 0 0.4010 6.604  18.8  6.2196  1 265 15.6 376.70  4.38 29.1
196__Lincoln     0.01381  80.0  0.46 0 0.4220 7.875  32.0  5.6484  4 255 14.4 394.23  2.97 50.0
197__Concord     0.04011  80.0  1.52 0 0.4040 7.287  34.1  7.3090  2 329 12.6 396.90  4.08 33.3
198__Concord     0.04666  80.0  1.52 0 0.4040 7.107  36.6  7.3090  2 329 12.6 354.31  8.61 30.3
199__Concord     0.03768  80.0  1.52 0 0.4040 7.274  38.3  7.3090  2 329 12.6 392.20  6.62 34.6
200__Sudbury     0.03150  95.0  1.47 0 0.4030 6.975  15.3  7.6534  3 402 17.0 396.90  4.56 34.9
201__Sudbury     0.01778  95.0  1.47 0 0.4030 7.135  13.9  7.6534  3 402 17.0 384.30  4.45 32.9
202__Wayland     0.03445  82.5  2.03 0 0.4150 6.162  38.4  6.2700  2 348 14.7 393.77  7.43 24.1
203__Wayland     0.02177  82.5  2.03 0 0.4150 7.610  15.7  6.2700  2 348 14.7 395.38  3.11 42.3
204__Weston      0.03510  95.0  2.68 0 0.4161 7.853  33.2  5.1180  4 224 14.7 392.78  3.81 48.5
205__Weston      0.02009  95.0  2.68 0 0.4161 8.034  31.9  5.1180  4 224 14.7 390.55  2.88 50.0
206__Waltham     0.13642   0.0 10.59 0 0.4890 5.891  22.3  3.9454  4 277 18.6 396.90 10.87 22.6
207__Waltham     0.22969   0.0 10.59 0 0.4890 6.326  52.5  4.3549  4 277 18.6 394.87 10.97 24.4
208__Waltham     0.25199   0.0 10.59 0 0.4890 5.783  72.7  4.3549  4 277 18.6 389.43 18.06 22.5
209__Waltham     0.13587   0.0 10.59 1 0.4890 6.064  59.1  4.2392  4 277 18.6 381.32 14.66 24.4
210__Waltham     0.43571   0.0 10.59 1 0.4890 5.344 100.0  3.8750  4 277 18.6 396.90 23.09 20.0
211__Waltham     0.17446   0.0 10.59 1 0.4890 5.960  92.1  3.8771  4 277 18.6 393.25 17.27 21.7
212__Waltham     0.37578   0.0 10.59 1 0.4890 5.404  88.6  3.6650  4 277 18.6 395.24 23.98 19.3
213__Waltham     0.21719   0.0 10.59 1 0.4890 5.807  53.8  3.6526  4 277 18.6 390.94 16.03 22.4
214__Waltham     0.14052   0.0 10.59 0 0.4890 6.375  32.3  3.9454  4 277 18.6 385.81  9.38 28.1
215__Waltham     0.28955   0.0 10.59 0 0.4890 5.412   9.8  3.5875  4 277 18.6 348.93 29.55 23.7
216__Waltham     0.19802   0.0 10.59 0 0.4890 6.182  42.4  3.9454  4 277 18.6 393.63  9.47 25.0
217__Watertown   0.04560   0.0 13.89 1 0.5500 5.888  56.0  3.1121  5 276 16.4 392.80 13.51 23.3
218__Watertown   0.07013   0.0 13.89 0 0.5500 6.642  85.1  3.4211  5 276 16.4 392.78  9.69 28.7
219__Watertown   0.11069   0.0 13.89 1 0.5500 5.951  93.8  2.8893  5 276 16.4 396.90 17.92 21.5
220__Watertown   0.11425   0.0 13.89 1 0.5500 6.373  92.4  3.3633  5 276 16.4 393.74 10.50 23.0
221__Newton      0.35809   0.0  6.20 1 0.5070 6.951  88.5  2.8617  8 307 17.4 391.70  9.71 26.7
222__Newton      0.40771   0.0  6.20 1 0.5070 6.164  91.3  3.0480  8 307 17.4 395.24 21.46 21.7
223__Newton      0.62356   0.0  6.20 1 0.5070 6.879  77.7  3.2721  8 307 17.4 390.39  9.93 27.5
224__Newton      0.61470   0.0  6.20 0 0.5070 6.618  80.8  3.2721  8 307 17.4 396.90  7.60 30.1
225__Newton      0.31533   0.0  6.20 0 0.5040 8.266  78.3  2.8944  8 307 17.4 385.05  4.14 44.8
226__Newton      0.52693   0.0  6.20 0 0.5040 8.725  83.0  2.8944  8 307 17.4 382.00  4.63 50.0
227__Newton      0.38214   0.0  6.20 0 0.5040 8.040  86.5  3.2157  8 307 17.4 387.38  3.13 37.6
228__Newton      0.41238   0.0  6.20 0 0.5040 7.163  79.9  3.2157  8 307 17.4 372.08  6.36 31.6
229__Newton      0.29819   0.0  6.20 0 0.5040 7.686  17.0  3.3751  8 307 17.4 377.51  3.92 46.7
230__Newton      0.44178   0.0  6.20 0 0.5040 6.552  21.4  3.3751  8 307 17.4 380.34  3.76 31.5
231__Newton      0.53700   0.0  6.20 0 0.5040 5.981  68.1  3.6715  8 307 17.4 378.35 11.65 24.3
